layer,transform,alpha,head,perturb_scale,rel_delta_fro,rel_delta_2
layer_1,raw,,5,0.001,0.0009460199274154104,0.0007267043544510164
layer_1,raw,,5,0.01,0.009254970094980726,0.00610595845454359
layer_1,raw,,6,0.0001,8.140963924635281e-05,5.607264989567311e-05
layer_1,raw,,6,0.001,0.0007711363866060081,0.0005040498497743997
layer_1,raw,,6,0.01,0.007891562501115171,0.006387920044454909
layer_1,raw,,7,0.0001,8.237713076724113e-05,5.9925545918247267e-05
layer_1,raw,,7,0.001,0.0008432035825531789,0.0005858588201844637
layer_1,raw,,7,0.01,0.008170983135656042,0.005736943187383007
layer_1,raw,,8,0.0001,6.415474168208783e-05,4.115582740454079e-05
layer_1,raw,,8,0.001,0.0006957603065259593,0.0004948920577727261
layer_1,raw,,8,0.01,0.007072018618758831,0.004495095565106884
layer_1,raw,,9,0.0001,8.15110217232367e-05,5.7756574390943724e-05
layer_1,raw,,9,0.001,0.0009235632520127381,0.0007130965945994429
layer_1,raw,,9,0.01,0.009557510168299128,0.007606987081612497
layer_1,raw,,10,0.0001,7.865243171288219e-05,6.365670729806331e-05
layer_1,raw,,10,0.001,0.0008189006858475377,0.0006334471840362742
layer_1,raw,,10,0.01,0.007413259870028982,0.005615513512847957
layer_1,raw,,11,0.0001,9.501123916837319e-05,6.310614821689342e-05
layer_1,raw,,11,0.001,0.0010005985661766601,0.000692855290751908
layer_1,raw,,11,0.01,0.010129852261317641,0.0071494401573089054
layer_1,raw,,0,0.0001,0.00010512540512582677,8.014743377557258e-05
layer_1,raw,,0,0.001,0.0011877891843570844,0.0010436250302328844
layer_1,raw,,0,0.01,0.0107008172556064,0.00819452981459095
layer_1,raw,,1,0.0001,6.004237844155453e-05,3.856227978385083e-05
layer_1,raw,,1,0.001,0.0006870819932525671,0.00046736802038905076
layer_1,raw,,1,0.01,0.006434334553197199,0.004671867990302976
layer_1,raw,,2,0.0001,8.234737765972938e-05,7.114509339541872e-05
layer_1,raw,,2,0.001,0.0007474022118258287,0.0006080503255712961
layer_1,raw,,2,0.01,0.008032659199640883,0.006946439294566578
layer_1,raw,,3,0.0001,6.265089073870485e-05,4.155786679873409e-05
layer_1,raw,,3,0.001,0.0006692038613090837,0.0005587950006042542
layer_1,raw,,3,0.01,0.006530852095643587,0.005221575867331366
layer_1,raw,,4,0.0001,7.831682053795392e-05,6.779410768516978e-05
layer_1,raw,,4,0.001,0.0008726043603937662,0.0008146880390641786
layer_1,raw,,4,0.01,0.008543256589748437,0.006333634921781386
layer_1,raw,,5,0.0001,8.098517194119751e-05,5.125735277913078e-05
layer_1,raw,,5,0.001,0.0007773663091908982,0.000546613350439045
layer_1,raw,,5,0.01,0.00826249827629955,0.005704731650622284
layer_1,raw,,6,0.0001,6.566084157394738e-05,4.66445463800232e-05
layer_1,raw,,6,0.001,0.0006712414763430457,0.0004604270376763163
layer_1,raw,,6,0.01,0.0069707698980146044,0.004660731141276803
layer_1,raw,,7,0.0001,7.176280109359812e-05,4.8273221499670456e-05
layer_1,raw,,7,0.001,0.0007801060127217694,0.0005664078732504811
layer_1,raw,,7,0.01,0.007401911000376375,0.006242563340416515
layer_1,raw,,8,0.0001,5.762769647998357e-05,3.88753473190602e-05
layer_1,raw,,8,0.001,0.0005868788085968094,0.00038958493688614424
layer_1,raw,,8,0.01,0.006362329915863416,0.004235909453538237
layer_1,raw,,9,0.0001,9.648218067721565e-05,7.440273705670495e-05
layer_1,raw,,9,0.001,0.0009092323826279094,0.0007313016850186528
layer_1,raw,,9,0.01,0.007937686668582588,0.006609180630017412
