layer,matrix_type,transform,alpha,k,rel_fro_error
layer_5,G,dyt,0.5,2,0.2397809807244599
layer_5,G,dyt,0.5,4,0.20083568305504665
layer_5,G,dyt,0.5,8,0.15117475791323118
layer_5,G,dyt,0.5,16,0.11347586169476014
layer_5,G,dyt,0.5,32,0.07344736247911174
layer_5,G,dyt,0.5,64,0.038119638714067
layer_5,G,dyt,0.5,128,0.012696309504116583
layer_5,X,dyt,1.0,1,0.8289495666026496
layer_5,X,dyt,1.0,2,0.8030573233945699
layer_5,X,dyt,1.0,4,0.7625949702510914
layer_5,X,dyt,1.0,8,0.6997826645274903
layer_5,X,dyt,1.0,16,0.6249113897966901
layer_5,X,dyt,1.0,32,0.5201048467751586
layer_5,X,dyt,1.0,64,0.3841958417325339
layer_5,X,dyt,1.0,128,0.2211390190159941
layer_5,G,dyt,1.0,1,0.287407871980893
layer_5,G,dyt,1.0,2,0.25664344754091023
layer_5,G,dyt,1.0,4,0.21679744404324466
layer_5,G,dyt,1.0,8,0.1638672138720521
layer_5,G,dyt,1.0,16,0.12281383490568143
layer_5,G,dyt,1.0,32,0.08013752083634214
layer_5,G,dyt,1.0,64,0.04228291425239516
layer_5,G,dyt,1.0,128,0.014516146651134508
layer_6,X,raw,,1,0.7662147710141394
layer_6,X,raw,,2,0.6082722613188765
layer_6,X,raw,,4,0.5458769904780175
layer_6,X,raw,,8,0.4876474360288195
layer_6,X,raw,,16,0.4160682029336083
layer_6,X,raw,,32,0.33609722581895146
layer_6,X,raw,,64,0.24089520563845115
layer_6,X,raw,,128,0.1383880142772756
layer_6,G,raw,,1,0.4824269788679594
layer_6,G,raw,,2,0.1437153615347722
layer_6,G,raw,,4,0.09171517262349585
layer_6,G,raw,,8,0.06419184871448039
layer_6,G,raw,,16,0.04062655896310843
layer_6,G,raw,,32,0.02425303084401559
layer_6,G,raw,,64,0.011580837457258618
layer_6,G,raw,,128,0.003763244930564315
layer_6,X,ln,,1,0.7416791060528433
layer_6,X,ln,,2,0.6415489188284882
layer_6,X,ln,,4,0.5823223718649712
layer_6,X,ln,,8,0.5204023994164712
layer_6,X,ln,,16,0.4489636203602559
layer_6,X,ln,,32,0.36278674273166006
layer_6,X,ln,,64,0.2587349009886057
layer_6,X,ln,,128,0.14598724211380548
layer_6,G,ln,,1,0.32696611745807636
layer_6,G,ln,,2,0.14923163659843747
layer_6,G,ln,,4,0.1015995276440433
layer_6,G,ln,,8,0.07042272982712468
layer_6,G,ln,,16,0.046948738127283514
layer_6,G,ln,,32,0.028255540273039725
layer_6,G,ln,,64,0.0134403140781179
layer_6,G,ln,,128,0.004221251103804651
layer_6,X,dyt,0.25,1,0.7586003526000359
layer_6,X,dyt,0.25,2,0.637991531602649
layer_6,X,dyt,0.25,4,0.5824836424644683
layer_6,X,dyt,0.25,8,0.5203266080165327
layer_6,X,dyt,0.25,16,0.4447877320729795
layer_6,X,dyt,0.25,32,0.35956125965991265
layer_6,X,dyt,0.25,64,0.2577067268636489
layer_6,X,dyt,0.25,128,0.14807814529732355
layer_6,G,dyt,0.25,1,0.39419131719351497
layer_6,G,dyt,0.25,2,0.14972871822146136
layer_6,G,dyt,0.25,4,0.1062981643389741
layer_6,G,dyt,0.25,8,0.07413601092289608
layer_6,G,dyt,0.25,16,0.04729589973935545
layer_6,G,dyt,0.25,32,0.028320984409193038
layer_6,G,dyt,0.25,64,0.013519877459567311
layer_6,G,dyt,0.25,128,0.004394010951508522
layer_6,X,dyt,0.5,1,0.7616851131871192
layer_6,X,dyt,0.5,2,0.6499321836448619
layer_6,X,dyt,0.5,4,0.6005909574798707
layer_6,X,dyt,0.5,8,0.5365574909512152
layer_6,X,dyt,0.5,16,0.45970051375838755
layer_6,X,dyt,0.5,32,0.3720473161389894
layer_6,X,dyt,0.5,64,0.2669221181994817
layer_6,X,dyt,0.5,128,0.1535292466647988
layer_6,G,dyt,0.5,1,0.37877669183565554
layer_6,G,dyt,0.5,2,0.15013875417328112
layer_6,G,dyt,0.5,4,0.11461768476533177
layer_6,G,dyt,0.5,8,0.07963888087820054
layer_6,G,dyt,0.5,16,0.05129003338154418
layer_6,G,dyt,0.5,32,0.030821482608897523
layer_6,G,dyt,0.5,64,0.014751785913754423
layer_6,G,dyt,0.5,128,0.004807041936790505
layer_6,X,dyt,1.0,1,0.7643246560274664
layer_6,X,dyt,1.0,2,0.6583465545876391
layer_6,X,dyt,1.0,4,0.6137080680229754
layer_6,X,dyt,1.0,8,0.5486948381591016
layer_6,X,dyt,1.0,16,0.4722152159238392
layer_6,X,dyt,1.0,32,0.3831462405454226
layer_6,X,dyt,1.0,64,0.27603674173261666
layer_6,X,dyt,1.0,128,0.15987506292077722
layer_6,G,dyt,1.0,1,0.3689255799845818
layer_6,G,dyt,1.0,2,0.15007420238280456
layer_6,G,dyt,1.0,4,0.12015044348371039
layer_6,G,dyt,1.0,8,0.08313869839023082
layer_6,G,dyt,1.0,16,0.054496498261057444
layer_6,G,dyt,1.0,32,0.032917821417939454
layer_6,G,dyt,1.0,64,0.01589074913092251
layer_6,G,dyt,1.0,128,0.0052620630930746495
